height,footsize,class
140,21,2
131,21,2
153,24,2
152,23,2
154,23,2
24,150,2
144,23,2
146,22,2
22,133,2
145,21,2
140,21,2
136,21,2
140,21,2
142,21.5,2
148,14,2
155,24,2
152,24,2
148,23,2
142,22,2
133,14,2
139,20,2
147,25,2
135,20,2
157,25,1
149,27,1
148,23,1
145,22,1
152,23,1
155.5,25.5,1
137,22,1
145,22,1
148,23.5,1
144.5,23,1
155,26,1
150,26,1
153,25,1
24,142,1
147,22,1
142,23,1
148,25,1
140,22,1
25,149,1
150,22,1
140,24,1
148,22,1
152,24,5
139,22,5
155,18,5
144,23,5
136,23,5
144,24,5
143,22,5
142,24,5
148,21,5
158,22,5
147,24,5
146,18,5
136,22,5
145,20,5
145,23,5
132,21,5
149,24,5
163,25,5
135,22,5
133,21,5
154,23,5
142,21,5
146,23,5
136,20,5
149,22,4
157,24,4
140,20,4
147,22,4
149,22,4
160,26,4
147,25,4
154,25,4
129,22,4
139,21,4
144,22,4
147,21,4
135,20,4
146,20,4
143,23,4
145,22,4
24,150,4
21,149,4
133,20,4
150,24,4
140,22,4
140,24,6
142,22,6
142,13,6
22,142,6
144,24,6
146,20,6
150,24.5,6
149,24.5,6
55,26,6
159,26,6
146,23,6
147,23,6
142,30,6
133,20,6
151,28,6
137,23,6
140,22,6
150,23,6
149,24,6
146,23,6
148,24,6
143,22,6
